name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Jabari Richards,Jr,Furman,OF,181,0.34,23.164,-2.357,0.751,0.309,0.442,0.255,0.187,0.303,0.221,0.066,0.033
Justin Barna,Sr,Alcorn,OF,173,0.34,22.14,-2.253,0.741,0.335,0.406,0.316,0.09,0.377,0.156,0.035,0.0
Jaylen Smith,Jr,Kennesaw St.,INF,129,0.34,16.509,-1.68,0.742,0.318,0.424,0.271,0.153,0.33,0.217,0.039,0.023
Jack Stronach,So,UCLA,INF,181,0.339,22.995,-2.526,0.717,0.348,0.369,0.281,0.088,0.306,0.11,0.055,0.006
Evan Madigan,So,Bucknell,INF,169,0.339,21.471,-2.358,0.73,0.337,0.393,0.29,0.103,0.347,0.178,0.059,0.006
Matt Cosentino,Sr,George Washington,OF,243,0.339,30.872,-3.391,0.708,0.346,0.362,0.271,0.091,0.314,0.144,0.086,0.008
Tj Richardson,Sr,Presbyterian,C,156,0.339,19.819,-2.177,0.679,0.365,0.314,0.285,0.029,0.368,0.199,0.103,0.0
Ben Kocher,Sr,Belmont,INF,254,0.339,32.27,-3.544,0.702,0.35,0.352,0.274,0.078,0.306,0.126,0.091,0.012
Anthony Meduri,Jr,Binghamton,P,197,0.339,25.028,-2.749,0.69,0.355,0.335,0.271,0.064,0.326,0.152,0.102,0.0
Tyler Laporte,Jr,Southern U.,INF,183,0.339,23.25,-2.553,0.724,0.339,0.385,0.308,0.077,0.342,0.115,0.055,0.0
Fredrick Spencer,Jr,Mississippi Val.,INF,178,0.339,22.614,-2.484,0.674,0.36,0.314,0.229,0.085,0.31,0.225,0.135,0.006
Chris Cappas,Fr,Pittsburgh,P,113,0.339,14.356,-1.577,0.716,0.354,0.362,0.298,0.064,0.35,0.142,0.088,0.0
Tj Ward,Sr,Hartford,INF,240,0.339,30.491,-3.349,0.71,0.342,0.368,0.26,0.108,0.298,0.154,0.075,0.012
Dylan Paul,Sr,Texas St.,INF,251,0.339,31.889,-3.502,0.733,0.331,0.402,0.281,0.121,0.316,0.151,0.072,0.016
Logan Mathieu,Fr,Liberty,INF,160,0.339,20.327,-2.233,0.713,0.338,0.375,0.243,0.132,0.309,0.238,0.1,0.025
James Bleming,Sr,Lehigh,INF,212,0.339,26.934,-2.958,0.718,0.358,0.36,0.256,0.104,0.311,0.217,0.118,0.014
Spencer Rouse,Jr,Lafayette,INF,187,0.339,23.758,-2.609,0.675,0.353,0.322,0.199,0.123,0.255,0.209,0.144,0.011
Dominic Mercurio,Sr,Northern Ky.,INF,176,0.339,22.36,-2.456,0.696,0.352,0.344,0.273,0.071,0.325,0.165,0.091,0.011
Trey Vickers,Sr,Wichita St.,INF,165,0.339,20.963,-2.302,0.73,0.345,0.385,0.287,0.098,0.333,0.17,0.061,0.012
